,entropy
0,8.025729447192319
1,8.025729447192319
2,8.025729447192319
3,8.025729447192319
4,8.025729447192319
5,8.025729447192319
6,8.025729447192319
7,8.025729447192319
8,8.025729447192319
9,8.025729447192319
10,8.025729447192319
11,8.025729447192319
12,8.025729447192319
13,8.025729447192319
14,8.025729447192319
15,8.025729447192319
16,8.025729447192319
17,8.025729447192319
18,8.025729447192319
19,8.025729447192319
20,8.025729447192319
21,8.025729447192319
22,8.025729447192319
23,8.025729447192319
24,8.025729447192319
25,8.025729447192319
26,8.025729447192319
27,8.025729447192319
28,8.025729447192319
29,8.025729447192319
30,8.025729447192319
31,8.025729447192319
32,8.025729447192319
33,8.025729447192319
34,8.025729447192319
35,8.025729447192319
36,8.025729447192319
37,8.025729447192319
38,8.025729447192319
39,8.025729447192319
40,8.025729447192319
41,8.025729447192319
42,8.025729447192319
43,8.025729447192319
44,8.025729447192319
45,8.025729447192319
46,8.025729447192319
47,8.025729447192319
48,8.025729447192319
49,8.025729447192319
50,8.025729447192319
51,8.025729447192319
52,8.025729447192319
53,8.025729447192319
54,8.025729447192319
55,8.025729447192319
56,8.025729447192319
57,8.025729447192319
58,8.025729447192319
59,8.025729447192319
60,8.025729447192319
61,8.025729447192319
62,8.025729447192319
63,8.025729447192319
64,8.025729447192319
65,8.025729447192319
66,8.025729447192319
67,8.025729447192319
68,8.025729447192319
69,8.025729447192319
70,8.025729447192319
71,8.025729447192319
72,8.025729447192319
73,8.025729447192319
74,8.025729447192319
75,8.025729447192319
76,8.025729447192319
77,8.025729447192319
78,8.025729447192319
79,8.025729447192319
80,8.025729447192319
81,8.025729447192319
82,8.025729447192319
83,8.025729447192319
84,8.025729447192319
85,8.025729447192319
86,8.025729447192319
87,8.025729447192319
88,8.025729447192319
89,8.025729447192319
90,8.025729447192319
91,8.025729447192319
92,8.025729447192319
93,8.025729447192319
94,8.025729447192319
95,8.025729447192319
96,8.025729447192319
97,8.025729447192319
98,8.025729447192319
99,8.025729447192319
100,8.025729447192319
101,8.025729447192319
102,8.025729447192319
103,8.025729447192319
104,8.025729447192319
105,8.025729447192319
106,8.025729447192319
107,8.025729447192319
108,8.025729447192319
109,8.025729447192319
110,8.025729447192319
111,8.025729447192319
112,8.025729447192319
113,8.025729447192319
114,8.025729447192319
115,8.025729447192319
116,8.025729447192319
117,8.025729447192319
118,8.025729447192319
119,8.025729447192319
120,8.025729447192319
121,8.025729447192319
122,8.025729447192319
123,8.025729447192319
124,8.025729447192319
125,8.025729447192319
126,8.025729447192319
127,8.025729447192319
128,8.025729447192319
129,8.025729447192319
130,8.025729447192319
131,8.025729447192319
132,8.025729447192319
133,8.025729447192319
134,8.025729447192319
135,8.025729447192319
136,8.025729447192319
137,8.025729447192319
138,8.025729447192319
139,8.025729447192319
